"annee","pole","hopital","service","chef","note","garde","ECOS","pédagogie..5","avis","matiere"
"DFASM1","Pole 2","HEGP","Radiothérapie","DURDUX",18,0,"oui",5,"Stage à la fois planque ( en hdj le Dr nous demande de venir que quand il y’a des patients « intéressant ») et à la fois très formateur ( les consult sont faite avec les professeurs du service qui sont tous très gentil et présent avec une vrai envie pédagogique, on peut leur poser toutes les questions et s’assurent que l’on comprennent ce qu’ils se passent staff qui peuvent parfois être très dense). 
Il y’a pas mal d’interne (5/6) qui se font un plaisir de nous montrer le contourage. 
L’organisation: une semaine au PT ( lundi/ mardi avec les machine de RT) et consult (le reste de la semaine) et une semaine en HDJ ( lundi au jeudi) 
Cours toutes les semaines sur tous le programmes de cancero. 
Au total: un stage tres tournée RT et Onco sans trop avoir d’indépendance et des demi-journées de consult parfois longue  mais qui est rattrapé avec l’HdJ où on voit les patients seul que l’on peut suivre toute la durée du stage ","Cancérologie"
"DFASM1","Pole 2","Saint-Louis","Gastro-Enterologie","Allez",18,5,"oui",4.5,"Globalement c'est un excellent stage, notre CCA Nassim Hamoudi est vraiment très présent, encadrant et pédagogue. C'est lui qui donne les cours et organise les ARCs qui sont de grande qualité. Les PU, PH et autres chefs sont aussi tres présents et volontaires pour répondre à nos questions. Seul bémol, en hdj et en salle, avec l'arrivée des nouveaux internes et des D4, on est bcp trop et on se marche dessus. Ça a rendu la fin de stage un peu lourde.","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Beaujon","Chirurgie Generale - Digestive","Panis",10,3,"oui",3,"Il n’y a globalement rien à faire en salle, donc souvent l’externe ne vient même pas. Au bloc, on est assez inutile mais c’est comme même intéressant d’observer (bcp de rétablissement de continuité des anses après stomies). Les consultations sont assez inintéressantes, sauf si l’un des médecins essayent de t’apprendre quelques trucs entre deux consultations, ce qui est rare. On est assez seul.","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Cochin","Centre des hémophilies","FONTENET",18,0,"non",5,"C’est un stage très spécialisé en Hémophile et en Willebrand mais que j’ai adoré !! Après ce stage la coagulation sera votre ami. C’est un mini service composé d’une secrétaire, d’une infirmière et de trois médecins qui sont supers ! Au début du stage c’est beaucoup de l’observation pendant les consults puis petit à petit on a un vrai rôle et on fini par faire les consults tout seul, à écrire les conclusions des comptes rendus (toujours relues ce qui est très enrichissant).Les médecins sont vraiment la pour nous, répondent à toutes nos questions et sont très souples sur les horaires (s’il y a une seule consult on est pas obligé de venir, on peut finir plus tôt sans problème et la semaine de partiels est comptée comme une semaine totalement off même si on a qu’une journée de partiel). 
Il est possible d’assister aux cours d’hemato qui sont super intéressant (demander à Valérie si on ne vous en parle pas). On peut aller aussi en consultation de thrombose, de rhumato, d’hépato… 
Donc c’est un stage peu prenant où l’on peut s’investir et apprendre plein choses dans une bonne ambiance ! Je vous le recommande ! Une entrée dans l’externat en douceur 😊
","Hématologie"
"DFASM1","Pole 2","HEGP","Radiothérapie","DURDUX",15,0,"oui",5,"Stage assez planqué 1 semaine sur 2 en hdj cancero
En radiothérapie 2 jours avec les internes contourage sur les scanners (après t’es un expert en scanner ahah)
Puis les autres jours en consulte avec les PU 
Les cours sont vraiment top en plus c’est les profs qui font nos partiels 
","Cancérologie"
"DFASM1","Pole 2","Saint-Louis","Radiologie","De Kerviler",16,0,"oui",3.5,"Tous les jeudis matin 8h30, un externe présente un cas clinique aux autres externes, c’est très chill pas de pression. 
Pour le scan interventionnel, si vous êtes bien là plusieurs jours de suite et que le chef est cool, vous pourrez sûrement faire un geste, n’hésitez pas à demander. 
Je n’ai pas de scanner 17h-20h car on m’a dit que ça n’avait aucun intérêt et que les médecins présents ne comprennent pas ce qu’on y fait, donc allez-y seulement si vous aimez avoir stage le soir. 
En gros on ne sert à rien du tout, donc profitez pour poser plein de questions et vous familiariser avec le PACS et les images.","Radiologie"
"DFASM1","Pole 2","Saint-Louis","Hematologie","Peffault de Latour",17,0,"non",5,"Stage très intéressant, un peu hors programme  pcq greffe de moelle exclusivement mais il y a bcp de cours d'hemato organisés pour les externes donc ça compense 
Équipe tres bienveillante 
On presente 1 patient au staff du jeudi
Pas mal pour voir les ATB, de la chimio et des infections opportunistes
Aspect soins pall ++ intéressant aussi
(Pas un stage planque, il faut venir tous les jours, mais pas mega prenant: possibilité de partir à midi et 2 semaines off)","Hématologie"
"DFASM1","Pole 2","Saint-Louis","Hematologie","Peffault de Latour",15,0,"oui",5,"Stage assez intéressant pour réviser le collège d’hémato. Le service est un service de GREFFE DE MOELLE assez spécialisé donc beaucoup de choses assez spécifiques et l’occasion de voir des choses intéressantes. 
Des cours sont organisés spécialement pour nous, avec un PUPH ou l’on peut choisir ce qu’on veut revoir et réviser, hyper utiles. D’autres cours sont organisés 1 a 3 fois par semaine avec les autres externes d’hématologie. 
L’ambiance est plutôt bonne et les chefs assez compréhensifs. 
Pour conclure : bon stage intéressant, bonne ambiance et possibilité de réviser tout le collège avec un PUPH ","Hématologie"
"DFASM1","Pole 2","HEGP","Chir viscérale","Karoui",16,8,"non",4,"Stage intéressant pour bien connaître la chirurgie digestive, globalement assez tranquille et où on vous laisse vous organiser comme vous voulez entre externes. Il faut un externe dans chaque bloc et 3/4 externes en salle donc on peut avoir 1 jour off par semaine. 
Les chefs sont tous très cool et vous font cours toutes les semaines. 
Les gardes sont souvent chill, mais parfois on opère toute la nuit.
Bcp de gardes donc assez prenant. 
","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Bichat","Gastro-Enterologie","Becheur",17,6,"non",4.5,"Service extrêmement transversal qui permet de voir la plupart des item du collège de gastro ET de chirurgie digestive (car garde en chir dig).  A noter que c’est également un service d’oncologie digestive donc vous aurez l’occasion d’assister aux rcp/consultation d’annonce… . L’équipe est super sympa autant les internes que les chefs. On a extrêmement bien été encadré par les internes. Vous aurez l'occasion d’effectuer des gestes ex: ponction d’ascite. Les prof vous font des cours toutes les semaines. 
Allez en consultation de proctologie c’est super interessant ! 
Y’a moyen de négocier  avec les internes pour partir plus tot vers 11h30/12h00 si le taff a été fait. 


","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Cochin","Gastro-entérologie","Coriat / Chaussade",14,2,"oui",4,"C’est globalement un stage interessant, où on voit beaucoup du programme de gastro. Il y a énormément d’oncologie, avec des patients parfois assez lourds donc il faut s’y préparer.

Les + :
- On a des cours 1x par semaine dans le service (cas clinique présenté par un externe, avec un médecin) qui permettent de balayer pas mal du programme de gastro + on peut assister aux cours des chir dig et des endoc
- On voit de la gastro et de la cancéro ce qui permet de revoir ces deux matières
- Visite 1x par semaine en salle avec une super PH, très détente et on apprend plein de truc
- un peu planque quand on est pas en salle (on finit très tot quand on est en MICI, en hôpital de semaine…)

Les - :
- On change bcp d’unité et on passe pas assez de temps en salle à s’occuper des patients à mon sens (beaucoup d’observation ou d’administratif quand on est pas en salle)
 ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Lariboisière","Endocrinologie","Gautier",11,0,"oui",2,"On est en journée complète, une semaine sur deux , c'est bien pour apprendre la diabéto mais beaucoup d'endoc (sauf en G6). Il y'a cours les mardi principalement sur le diabète , l'équipe est bienveillante mais stage un peu prenant. ","Endocrinologie - Nutrition"
"DFASM1","Pole 2","Saint-Louis","Hematologie","Raffoux",20,0,"oui",5,"Les cours de ce stage sont superbes ( on a des cours à midi) avec les autres sévices d’hématologies 
Je recommande++
En plus dr soufian nous faisait des ecos chaque jeudi 
On a une visite chaque vendredi avec l’équipe ou il faut en profiter si vous avez des questions 
","Hématologie"
"DFASM1","Pole 2","Saint-Louis","Hematologie","Peffault de Latour",16,0,"oui",5,"Très bon stage avec beaucoup de cours qui permettent de voir tout le programme d’hemato. Même si c’est très spécialisé, on apprend pleins de choses en hemato, cancero et infectio. Y a bcp de cas assez lourds ce qui n’est pas facile tous les jours mais à part ça je recommande ++","Hématologie"
"DFASM1","Pole 2","Institut Mutualiste Montsouris","Pathologie digestive","Soubrane",11,0,"non",2.5,"Si vous recherchez un stage formateur où vous sentez chaque jour que vous contribuez à quelque chose et que vous apprenez, ce stage n'est pas fait pour vous. Je suis personnellement quelqu'un qui aime s'impliquer, apprendre des choses aussi bien théoriques que pratiques. 
Ne vous méprenez pas, les professeurs et les médecins sont TRÈS qualifiés et pionniers dans leur spécialité (en particulier Dr Soubrane qui est un des meilleurs pour la transplantation hépatique probablement a l’échelle internationale) et ils peuvent certainement être quelqu'un qui peut vous inspirer si vous avez la chance de leur parler.
Mais j'avais vraiment hâte d'apprendre beaucoup plus que ce que nous avions réellement fait, nous avions prévu tellement de cours et nous n'en avons fait que 3 après de nombreuses fois où ils ont été annulés le matin même. Pas de formation pour ECOS, ce qui aurait été bien.
Les seuls endroits où je faisais quelque chose parfois (pas toujours) étaient le bloc où ils me laissaient faire quelques points de suture, et parfois en endoscopie avec des TR et pose de perf. Mais en gros, je suis resté debout pendant 4 heures, sans faire grand-chose d'autre que simplement observer et parfois poser quelques questions.
Les consultations étaient parfois intéressantes, ça dépend quel médecin on va (que l'on peut choisir), mais en gastro par exemple parfois les médecins n'avaient pas beaucoup de patients à voir et donc ils nous disaient juste de partir. Sinon, tout ce que vous faites est de rester assis tout le temps à côté de leur bureau et de toucher à peine un patient.
Au début, j'étais TRÈS proactif et je demandais de faire tout ce que je pouvais, mais au fur et à mesure que le semestre avançait, j'ai réalisé que la plupart des journées étaient une perte de temps que j'aurais pu utiliser pour réellement apprendre et étudier.","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Bichat","Endocrinologie","Roussel",15,0,"oui",4.5,"J’ai bien aimé ce stage mais on ne fait quasi que de la diabétologie et beaucoup de pieds diabétiques donc top pour savoir prendre en charge des patients diabétiques mais très peu d’endocrino 
Les médecins sont présents en salle donc on est bien encadrés et on peut poser plein de questions, ils sont tous bienveillants
Les semaines en HDJ sont plus stimulantes qu’en salle parce qu’on s’occupe nous-mêmes d’un patient et après on fait un feed-back au médecin en fin de matinée ","Endocrinologie - Nutrition"
"DFASM1","Pole 2","Necker","Hématologie biologique","Macyntire",18,0,"non",4.5,"Stage très bien, je recommande ++. Si vous vous investissez un peu, vous repartez en étant hyper solide en hémato. Stage très chill et pas fatigant.
Il y a 2 activités principales : myélogramme, et analyse des prélèvements (frottis, immunophénotypage, etc) au labo.

Mais stage particulier pour 2 raisons : vous êtes le/la seul.e externe, et c'est en laboratoire d'onco-hématologie, donc il n'y a presque pas de patient.
Organisation type de la semaine :
Lundi/Mardi/Mercredi : Rendez-vous de myélogramme. N'hésitez pas à demander aux internes/chefs à en faire, si vous le souhaitez. Puis retour au labo pour la fin de la matinée.
Jeudi/Vendredi : Plus chill, que au labo. C'est là que les internes/chefs ont un peu plus de temps pour vous montrer des choses.
Cours 2 fois par semaine, par les chefs, ou en commun avec les externes d'hémato clinique, qui balaient le programme d'hémato.
Petit staff présentation de cas à préparer pour les externes d'hémato clinique, une semaine sur deux, mais les internes/chefs vous aident à les préparer, et c'est l'occasion de revoir les cours.
Possibilité de passer 1 semaine en anapath, et 1 semaine au labo d'hémostase spécialisé.

Au global, stage vraiment bénéf, on apprend beaucoup, mais sans être trop fatigant, et les gens sont sympas","Hématologie"
"DFASM1","Pole 2","Beaujon","Gastro-Enterologie","JOLY Francisca",16,3,"non",4.5,"Stage interessant mais très (trop) spécialisé, vous allez devenir un expert des Mici!
Globalement l’ambiance est sympa on est pas trop nombreux (max 2 externes par ailes) donc c’est assez agréable vous pouvez posez tte les questions que vous voulez. Après ça reste très interne dépendant. 
Globalement même si c’est spécialisé vous allez apprendre plein de choses, toucher un peu à tt car les patients ont souvent plein de pathologies en même temps.
Aile A nutrition : pas fou franchement 2 semaines la bas les patients sont chroniques ++ mais avec le recul ça fait revoir la nutrition (college un peu négligé) donc bossez bien l’item dénutrition avant d’y aller 
Aile B « SURVI » : que des IMA, bon c’est du rang c clairement très compliqué mais c’est quand même intéressant! Attention au Pr Corcos qui est vrm horrible avec les externes et les internes quand il est de mauvaise humeur :// 
Aile C MICI : comme dans les collèges! 
Consultation et endoscopie super intéressant Il  ne vérifie pas si vous venez donc facile de se planquer mais c’est vrm dommage car on apprend plein de choses pdt cette semaine la (le truc le moins spécialisé)
Après pour l’ambiance mis à part le Pr Corcos le reste de l’équipe est top super à l’écoute (Dr nuzzo ++), impliquez vous soyez curieux et vous allez kiffer votre stage!
il y a cours le mercredi avec tte les spécialités* ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Saint-Joseph","Hépatogastro entér proctologie","Marty/Lemarchand-De Parades",16,2,"oui",4.5,"Stage qui couvre toute la gastro, les cours dispensés sont très biens !
Attention ce n’est pas un stage planque, ils sont hyper vigilants à ce que vous soyez bien présents, tous les jours. 
Le bloc de proctologie c’est super cool les chefs sont hypers sympas, vous n’êtes pas plante verte! Proposez vous les jours où il n’y a pas d’internes, vous allez être hyper utiles ! 
En gastro vous serez avec les internes donc en salle et en hds/hébergés c’est très interne dépendant il y en a des plus ou moins sympas. 
Les visites avec les chefs sont très cools ils vous posent bcp des questions et s’assurent que vous comprenez bien la prise en charge ! En revanche le staff du mercredi vous ne pourrez pas y échapper malheureusement : 8h-9h staff médico-chir et 10h-13h15 staff gastro (vous allez voir passer les minutes), présentez les patients que vous avez vus.
Les premières semaines on ne se sent pas très utiles et petit à petit vous allez prendre vos marques et vous aurez des choses à faire. 
Descendez voir les endoscopies c’est bien d’en voir pour comprendre et aller aux consultations c’est top et c’est chill ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","HEGP","Chir viscérale","Karoui",13,7,"non",3,"Horaires : 8h - 13h (max) généralement on finissait plus tôt en salle. Le stage commence à 8h PILE avec le staff tous les matins 

2 secteurs : 
Les blocs 
La salle (2 côtés, le A19 et le A15) 

Groupe de 10 externes : 
Minimum 1 externe par bloc (en générale 3/4 blocs par jour voir moins)
Minimum 1-2 externe(s) par côté en salle (mieux vaut être 3/4 externes en salle pour finir plus tôt 🤪🤪) 

Possibilité de prendre un jour off dans la semaine car généralement on est + d’externes que ce qui est nécessaire du coup on s’arrange entre nous. 

La première semaine de stage c’est une semaine de formation pour le bloc (comment s’habiller en stérile, présentation des instruments de bloc, apprentissage des points de sutures les plus courant en chir dig..)

Pendant un bloc, on s’habille et on a le rôle de l’instrumentiste (sauf qu’en y’en déjà une vraie instrumentiste), éventuellement on peut suturer les petits points de cœlioscopie à la fin de l’opé

En salle, c’est full rédaction de CRH, faire les pochettes de sortie des patients avec bon de transport et arrêt de travail +++ au début c’est long mais une fois qu’on s’habitue c’est rapide et on finit plus tôt  

Concernant les gardes, on en a eu à peu près 7 chacun. Autant ça peut être une garde calmeeee où tu dors à 22h, autant tu peux enchaîner les blocs d’urgence et dormir à 4h. Le chef paye le dîner et l’externe ramène le dessert. 

Certains chefs font des cours à hauteur de 1-2 cours par semaine après le staff et la pause café 

1 ECOS (non validant) organisé vers la fin du stage ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","HEGP","Gastroentérologie endoscopie","Cellier",18,3,"non",4.5,"Pour bien profiter de ce stage, revoyez votre anatomie du système digestif! C'est bête mais bien savoir localisé, séparer les différents segments digestif/biliaire/hépatique, c'est quelque chose qui permet de faciliter la compréhension des troubles et pathologies HGE. Sinon, pour avancer sur les cours, calez vous sur vos patients et sur les cours qui vont être faits. Essayez d'être le plus à jour possible, ce sera très bénéfique. ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Bichat","Endocrinologie","Roussel",13,0,"oui",3,"c’est en réalité un stage très chill ou l’on fait que de la diabetologie ( presque pas d’endocrino du tout) donc on est calé sur le diabète à la fin (mais pas trop sur le reste). en HDJ on fait la consultation avec les patients en autonomie, c’est très instructif et cool (le Dr Travert est trop sympa en +).  Par contre la salle c’est pas trop encadré, on s’y ennuie un peu à la longue (que des pieds). A la visite mardi et jeudi, on doit présenter un patient en théorie.  Pour les horaires en réalité on peut se permettre d’arriver à 9:30 en HDJ et en salle car même les médecins arrivent en retard. Stage très bienveillant et intéressant pour le diabète. ","Endocrinologie - Nutrition"
"DFASM1","Pole 2","Institut Mutualiste Montsouris","Pathologie digestive","Soubrane",12,0,"non",1.5,"Stage hyper planqué, je venais que une fois par semaine, si tu viens pas personne vient te chercher mais si ty has ils sont ok pr t’apprendre des trucs, au delas de ça, t’as aucun rôle d’externe tu fais que observer. Passer en consult gastro c’est là où t’apprend le plus. Tu tournes entre chaque modules ( consult chir, gastro, endoscopie et bloc ). Consult chir interessant avec le chef de service. Endoscopie c’est bien 1-2 fois mais tous les jours c’est redondant. Si vous êtes motivés, passez en consultation obésité et nutrition c’est sympa mais pareil une fois ça suffit. Sinon profitez en pr taffer vos cours à côté le matin pcq vraiment c’est planqué mais si tu te chauffes t’apprends des trucs ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Louis Mourier","Département Digestif","Coffin/Moskowicz",17,7,"oui",5,"Une très bonne surprise (c'était mon 15ème choix) et je suis ravie d'avoir été dans ce stage. L'ambiance est très bonne et saine, l'équipe est accueillante et disponible. Les PU-PH sont très impliqués, pédagogues, jeunes et sympathiques (bonus : ce sont les rédacteurs des fiches LISA donc si vous avez des questions ce sont les mieux placés pour vous répondre). 

HGE : le Pr. DUBOC est extrêmement impliqué, il a fait construire une salle de simulation pour que les étudiants puissent s'entrainer notamment aux ECOS. A ce titre, nous avions une séance de simulation tous les lundis matin à 10h30 avec lui. C'est également le gestionnaire du site CDU-HGE donc si vous avez des questions ou des remarques n'hésitez pas à lui demander. En ce qui concerne, le stage en lui-même, il s'agit plus d'observation pour l'endoscopie avec et sans AG. Vous aurez quelques missions d'externes en HDJ (interrogatoire des patients sur les effets secondaires des biothérapies et des chimio) et en salle (BMI ++). 
Les consultations avec le Pr. DUBOC sont intéressantes et très sympas. 

CHIR DIG : le Pr. MOSZKOWICZ est très pédagogue, il challenge beaucoup et fait réfléchir ses étudiants (les visites sont donc très interactives). Ses consultations sont enrichissantes et c'est un moment privilégié pour lui poser vos questions. Par ailleurs, nous avons eu des cours de sa part tous les mercredis matins. 
Dans le service et au bloc, l'externe a une véritable fonction. En salle, il faut s'attribuer les patients que nous présentons à la grande visite du vendredi, faire des mots d'évolutions et des BMI. Au bloc, on fait aide-opératoire et on suture. 

Voilà, petit conseil : soyez présents en stage c'est vraiment là qu'on apprend et en plus si vous venez pas c'est mal vu (ils sont vraiment passionnés et là pour partager avec les étudiants).  ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Louis Mourier","Département Digestif","Coffin/Moskowicz",17,8,"oui",4,"Stage incroyable pour moi qui hésitait ++ en gastro ou chirurgie, j’ai pris un stage qui me permettrait de voir un peu de tout et j’ai pas été décue. 
En gastro: diversité de pathologies, d’unités et de prises en charge. On a l’HDJ mici et cancéro (utile pour réviser les traitements et les effets indésirables, et il y a des ponctions d’ascite souvent mercredi/jeudi) mais c’est assez répétitif au bout d’un moment, c’etait la semaine planque pour ma part. Il y a l’endoscopie/coloscopie sans AG et avec AG au bloc ou il faut etre proactif pour pouvoir faire les biopsies, se familiariser avec l’aspect des patho etc (aller au moins une fois au bloc d’endo avec AG pour voir les opérations avec Coffin++). La salle est plus intéressante en journées completes car les entrées se font l’aprem. Enfin les consults avec Duboc +++ et Coffin se font l’apres midi et il est intéressant d’y passer. L’ambiance est sympa mais a part les internes (🫶🏻🫶🏻) en gastro on va pas trop vous calculer mdr
Mention spéciale pour les lundi matin simulation avec Dr henri Duboc sous format d’ecos hyper utiles et sympa

En chir dig il y a des cours les mercredis avec Moszkowicz qui sont juste top, vous en sortez avec l’item et l’anat bien assimilée! En chir dig le plus intéressant pour moi qui habite loin c’est faire des journées completes sur mes jours de garde. Plus vous etes proactifs plus vous apprendrez des choses si la chirurgie vous intéresse. Tous les chefs sont sympa et bienveillants, l’ambiance est top et on n’est pas fliqués du tout, meme si il faut etre malin si on veut se planquer (venir a la visite du vendredi matin++ et aux cours, et éviter les retards au staff qui sont remarqués). 

En gros: stage hyper enrichissant en chir comme en gastro qui vous fera balayer le programme, avec des cours au top et une bonne ambiance en général. Si vous etes proactifs il y a plein de gestes a faire, d’ici la fin du stage vous saurez suturer comme never. Foncez si vous etes pas trop loin, sinon les journées completes rendent la distance moins insupportable ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Beaujon","Radiologie","Vilgrain",15,0,"oui",2.5,"Stage peu prenant :  pas de présentation ou de travail à faire, mais attention SIGNATURE OBLIGATOIRE À 9h et à 12h donc un peu lourd. Mais par contre une fois sur place on est « libre ». On reste avec un interne ou un chef. C’est un stage d’observation. Il faut s’investir et poser des questions si on veut apprendre pcq sinon on ne fait rien. ","Radiologie"
"DFASM1","Pole 2","Saint-Louis","Hematologie","Peffault de Latour",12,0,"oui",3.5,"Conseils : 
1) demander dès les premiers jours le numéros  et fax de l’HDJ et de la salle, à vous noter sur un carnet 
2) Acheter un petit carnet ! 
3) baladez-vous dans les dossiers de votre session, vous y trouverez un tas de choses, des ppt notamment avec pleins d’infos 
4) commencer par l’item de biothérapie !!!!! Puis celui des syndromes myelodysplasiques. ","Hématologie"
"DFASM1","Pole 2","Beaujon","Gastro-Enterologie","JOLY Francisca",12,3,"oui",3.5,"Stage très très interne dépendant car c’est eux qui vont vous demander d’aller voir vos patients ou vous poser des questions car sinon il n’y a vrmt rien a faire et vous suivez juste votre interne comme un petit toutou 
Hésitez pas à leur poser des questions par contre ils sont souvent assez chaud donc pour des petits cours privé c’est pas mal
Il y a une bonne ambiance, les gens sont tous sympa mais on se fait assez chier et ce n’est pas planqué du tout !!!  ","Hépato-Gastro-Entérologie"
"DFASM1","Pole 2","Beaujon","Radiologie","Vilgrain",15,0,"non",4,"L'externe est vraiment inutile en radio, mais si vous vous impliquez vous allez en apprendre réellement. C'est à vous d'aller vers les internes et les chefs, ils ne viendront pas vous chercher. Savoir lire et interpréter les images, comprendre les différents examens et leurs indications sera très utile pour votre externat.
En théorie, il y a 3 cours par semaine (lundi zoom, mercredi avec un interne, un cours par semaine avec un sénior) et des staffs dont un obligatoire le mercredi (radio-réa). N'hésitez pas à relancer les seniors qui oublient souvent de donner cours.
Petit bémol : il faut venir tous les jours, émarger à 9h et à 12h (après il est rare qu'on vienne vérifier si on est réellement posté ou pas).","Radiologie"
"DFASM1","Pole 2","Saint-Louis","Cancérologie - Radiotherapie","Hennequin",15,0,"oui",5,"Salle une semaine sur deux (9h jusqu’au moment où y’a plus rien à voir) : seul un interne s’en occupe,  présentation d’un patient les mercredis pendant la visite (nécessité de rigueur mais permet d’apprendre la cancero), horaires soft. 
Possibilité de faire des journées complètes (entrées plutôt l’aprem) 
Plateau technique l’autre semaine : staff à 8h puis consultations  
La présence est pas mal surveillée
Cours d’onco le mardi + accès aux cours d’hémato saint-Louis","Cancérologie"
"DFASM1","Pole 2","Cochin","Diabétologie","LARGER",18,2,"oui",4.5,"Stage très intéressant si on s’investit un minimum ! Mais assez prenant ! 
C’est un service ultra spécialisé, donc on voit vraiment à fond l’item de diabeto (et toutes ses thérapeutiques !!!) , et puis les diverses complications nous permettent de faire un peu de neuro, de cardio, de nephro, d’ophtalmo et d’hémato. 

Une semaine type (9h-13h) : visites les mardis et vendredi, staff le mercredi à midi (pas toujours ultra intéressant), cours organisés 1 à 3 fois par semaine (chefs, cca, diététiciennes, inf, etc) et un cours avec le Pr Larger par semaine. 
Pour ceux qui sont à yallow (hospitalisation de semaine): il y a la possibilité de faire le lundi en journée complète pour faire toutes les entrées de patients (pas mal pour ne pas avoir à courir derrière ses patients entre leurs ateliers d’éducation thérapeutique le reste de la semaine); en contrepartie nous sommes absents le vendredi, le jour de la sortie des patients. Il y a d’ailleurs la possibilité de participer aux ateliers d’éducation thérapeutique avec les patients. 

Question d’autonomie: si on est un minimum investi, on peut gérer un patient de son entrée à sa sortie, avec l’aides des internes ou médecins pour les questions de thérapeutiques etc. Donc on peut être assez autonomes et investis. 

Les connaissances apportées hors des cours sont internes, cca et chefs dépendants ! Dans l’ensemble, une équipe bienveillante et attentive, mais parfois un peu exigeante ! Certains chefs sont vraiment super sympa et pédagogues en visite ! 

Bilan : j’ai beaucoup apprécié mon stage ! Je me suis investie et donc sentie utile, pas uniquement là pour faire de l’administratif , dans une équipe désireuse de nous transmettre ses compétences très spécialisées sur le diabète (qu’on croisera beaucoup dans notre pratique) ! Après ça fait qu’un item, mais bon on fait quand même un peu d’endocrino, et toutes les autre spé citées la haut grâce à nos merveilleux patients multi compliqués 😅","Endocrinologie - Nutrition"
"DFASM1","Pole 2","Lariboisière","Endocrinologie","Gautier",14,0,"oui",3,"Les horaires sont officiellement 9h-18h mais je finissais quasiment toujours à 19h30 (parce que j’assistais aux CV qui se faisaient assez tard en général). On faisait en journée complète 1 semaine sur 2. 

Orga générale :
- Cours mardi 9h-10h30
- Visite g6 le mardi, staff mardi // g5 visite le mardi, staff lundi
(Staff non obligatoire)

Ce que je faisais/voyais en salle :
- Bilan d’entrée
- ECG
- BOL (on assiste)
- Adaptation ttt

En HDJ :
- ECG
- Consultation

Avantages :
Ce stage est très axé diabéto, j’ai du voir 1 pheochromocytome, 2 adénomes hypophysaires et 1 Cushing mais sans plus. Mais du coup à la fin on est béton en diabéto. 
L’équipe est assez peu nombreuse pour le nombre de lits (chaque interne avait à chaque fois 11 patients). Du coup ils sont vite débordés, mais si on se montre volontaire et impliqué, les internes nous laissent faire nos entrées seuls, prescrire les bio/ECBU en leur nom, et perso j’ai même pu faire une biopsie à un patient. Certains internes sont très pédagogues et certains PH/CCA nous posent des questions pour nous pousser à réfléchir. 

Très bonne ambiance, perso j’étais quasiment toujours la seule externe dans mon secteur (comme on était 8, on faisait 4 par semaine puis on changeait) donc j’étais assez proche de mes internes. Un CCA en HDJ (JB coeur sur lui) qui est incroyable et demande aux externes de faire les consultations comme des « internes » et après debrief où il nous demande notre avis, ce qu’on ferait avec les ttt, quelle prise en charge etc…
Le chef est aussi ultra sympa si on lui montre qu’on existe (participez pendant les visites/staff). 

Pas d’astreinte ni de garde donc c’est assez léger. 
Et honnêtement si vous décidez de vous mettre en mode planque, personne vous calcule. Mais si vous voulez qu’on remarque votre existence, il suffit de s’impliquer ^^. 

Inconvénients : 
Les horaires. Souvent le matin il ne se passe pas grand chose et comme je m’entendais bien avec les internes je m’accordais le droit d’arriver à 10h. Et aussi pas mal de problèmes d’organisation, que ce soit les cours (on était quasiment toujours prévenu la veille voire 2h avant), ou pour les codes APH qui ont mis des plombes à arriver. Peut-être aussi le manque de variétés de cas (95% de diabéto avec surtout des pieds et des déséquilibres).

Pas de repos de garde SAMU accordé.  
","Endocrinologie - Nutrition"
"DFASM1","Pole 2","Saint-Louis","Hematologie","Thieblemont",14,0,"oui",2.5,"Stage assez chill pas trop prenant mais c’est pas une planque non plus.","Hématologie"
"DFASM1","Pole 2","Institut Mutualiste Montsouris","Pathologie digestive","Soubrane",16,0,"non",3.5,"J’ai aimé ce stage, vraiment ! :) Tout le monde est très sympa, et on couvre une bonne partie des collèges : on fait de la chir dig (au bloc et en consults), de l’HGE (au bloc d’endoscopies - y compris des endoscopies interventionnelles - et en consults, les gastros sont vraiment hyper sympas et pédagogues), et de la nutrition (notamment de par l’équipe de prise en charge de l’obésité, et il y a aussi de la diabéto par exemple). On n’est pas fliqués du tout, donc le stage peut être très planque si on décide de rester chez soi, et sinon on se balade entre ces différentes possibilités, donc on voit plein de choses d’un point de vue théorique 🙂. 

Le défaut de ce stage, c’est qu’on est très observateur. On ne fait pas de gestes, ni d’entrées ou quoi, donc en termes d’apprentissage pratique on n’est pas bons. On fait juste quelques sutures au bloc, et parfois en consults les gastros nous laissent entamer quelques consults seuls puis viennent terminer (ça c’est bien !).","Hépato-Gastro-Entérologie"
